ciBusinessName,ciFiscalCode,ptBusinessName,ptFiscalCode
Acque Aurora s.r.l.,03006290872,Maggioli SPA,6188330150
Acque Bresciane Srl,03832490985,Engineering Ingegneria Informatica SpA,967720285
ACQUE CARCACI DEL FASANO SPA,00133090878,Engineering Ingegneria Informatica SpA,967720285
Acque del Chiampo Spa Servizio Idrico Integrato,81000070243,Progetti e Soluzioni SPA,6423240727
ACQUE DEL VOLTANO SOCIETÀ COOPERATIVA,02889390841,Intesa Sanpaolo SPA,799960158
Acque di Casalotto S.p.A.,00131630873,Engineering Ingegneria Informatica SpA,967720285
ACQUE MANGANO S.R.L.,02444300871,Banco BPM Società per Azioni,9722490969
ACQUE MANGANO S.R.L.,02444300871,Maggioli SPA,6188330150
Acque spa,05175700482,Publiacqua SpA,5040110487
Acque Veronesi,03567090232,Poste Italiane S.P.A.,97103880585
Acque Veronesi,03567090232,Engineering Ingegneria Informatica SpA,967720285
Acquedotti Ing. Sarino Pavone S.p.A.,00168550879,Poste Italiane S.P.A.,97103880585
Acquedotto Consortile Biviere,02641830829,Maggioli SPA,6188330150
Acquedotto del Carso Spa - Kraski Vodovod Dd,00062810320,Novares Spa,12105121003
Acquedotto del Fiora S.p.A.,00304790538,Publiacqua SpA,5040110487
Acquedotto della Piana S.P.A.,00099020059,Maggioli SPA,6188330150
Acquedotto Lucano Spa,01522200763,KOINE' SRL,1934790971
Acquedotto Lucano Spa,01522200763,Regione Basilicata,80002950766
Acquedotto Pugliese S.P.A.,00347000721,Poste Italiane S.P.A.,97103880585
ACQUEDOTTO SAN LAZZARO SPA,00136200094,E-Fil S.r.l.,3789750100
ACQUEDOTTO VALTIGLIONE S.P.A.,00073940058,Novares Spa,12105121003
Acquevenete SpA,00064780281,Poste Italiane S.P.A.,97103880585
ACSM Teleriscaldamento SpA,01617890221,E-Fil S.r.l.,3789750100
ACSM Trading Srl Unipersonale,01900420223,E-Fil S.r.l.,3789750100
acta spa,96006460768,BRAV SRL,2818030369
Actv Spa,80013370277,Intesa Sanpaolo SPA,799960158
ADE SPA Società del Comune di Parma,02319580342,Poste Italiane S.P.A.,97103880585
ADOI Associazione Dermatologi - venereologi Ospedalieri Italiani e della sanità pubblica,80101420109,E-Fil S.r.l.,3789750100
Adopera Patrimonio e Investimenti Casalecchio di Reno Srl,02780831208,E-Fil S.r.l.,3789750100
ADRIATICA RISORSE S.P.A.,02259820682,Maggioli SPA,6188330150
AER SpA,01388690487,Intesa Sanpaolo SPA,799960158
Aero Club d'Italia,80109730582,APKAPPA S.R.L.,8543640158
Aet2000 Spa,02047620303,Progetti e Soluzioni SPA,6423240727
Afc Torino S.P.A.,07019070015,Regione Piemonte,80087670016
AG.EN.A. S.r.l.,01522110673,Intesa Sanpaolo SPA,799960158
AG.EN.A. S.r.l.,01522110673,ICCREA Banca SpA,4774801007
Agac Infrastrutture S.p.A.,02153150350,Next Step Solution,2554480349
AGEC Verona,80028240234,"Unicredit, Societa' per Azioni",348170101
Agenzia Campana per L'Edilizia Residenziale,08496131213,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Agenzia Campana per L'Edilizia Residenziale,08496131213,eRemind srl – PMPAY,11311050964
Agenzia del Trasporto Pubblico del Bacino di Sondrio,00991540147,APKAPPA S.R.L.,8543640158
Agenzia della mobilita' Piemontese,97639830013,Regione Piemonte,80087670016
Agenzia delle Dogane e dei Monopoli,97210890584,Sogei S.p.A,2327910580
Agenzia delle Entrate,06363391001,Sogei S.p.A,2327910580
Agenzia delle Entrate - Riscossione,13756881002,Agenzia delle Entrate - Riscossione,13756881002
Agenzia Demanio provinciale,00653830216,Alto Adige Riscossioni Spa,2805390214
Agenzia di Tutela della Salute dell'Insubria,03510140126,Regione Lombardia,80050050154
Agenzia di Tutela della Salute della Brianza,09314190969,Regione Lombardia,80050050154
Agenzia di Tutela della Salute della Citta' Metropolitana di Milano,09320520969,Regione Lombardia,80050050154
Agenzia di Tutela della Salute della Montagna,00988200143,Regione Lombardia,80050050154
Agenzia di Tutela della Salute della Val Padana,02481970206,Regione Lombardia,80050050154
Agenzia di Tutela della Salute di Bergamo,04114400163,Regione Lombardia,80050050154
Agenzia di Tutela della Salute di Brescia,03775430980,Regione Lombardia,80050050154
Agenzia di Tutela della Salute di Pavia,02613260187,Regione Lombardia,80050050154
Agenzia Entrate-Riscossione ex Riscossione Sicilia,00833920150,Next Step Solution,2554480349
Agenzia Forestale Regionale,94143220542,P.A. Digitale spa,6628860964
Agenzia Forestale Regionale per Lo Sviluppo del Territorio e dell'Ambiente della Sardegna,03669190922,Regione Autonoma della Sardegna,80002870923
